课程编号,课程名,开课学院,类型,分类,学分,,老师
B2E333050-11,体育（5）健美操1,体育部,必修,体育类,0.5,,朱志萍
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,邵 山
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,邵 山
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,陈 松
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,陈 松
B2E333050-2,体育（5）排球1,体育部,必修,体育类,0.5,,陆 科
B2E333050-3,体育（5）排球2,体育部,必修,体育类,0.5,,陆 科
B2E333050-4,体育（5）气排球,体育部,必修,体育类,0.5,,黎宇翔
B2E333050-4,体育（5）气排球,体育部,必修,体育类,0.5,,黎宇翔
B2E333050-5,体育（5）软式排球1,体育部,必修,体育类,0.5,,王民怡
B2E333050-5,体育（5）软式排球1,体育部,必修,体育类,0.5,,王民怡
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-7,体育（5）散打2,体育部,必修,体育类,0.5,,周若夫
B2E333050-7,体育（5）散打2,体育部,必修,体育类,0.5,,周若夫
B2E333050-8,体育（5）太极拳1,体育部,必修,体育类,0.5,,姚建军
B2E333050-8,体育（5）太极拳1,体育部,必修,体育类,0.5,,姚建军
B2E333050-9,体育（5）长跑体能,体育部,必修,体育类,0.5,,徐文泉
B2E333050-9,体育（5）长跑体能,体育部,必修,体育类,0.5,,徐文泉
B2E333050-10,体育（5）足球1,体育部,必修,体育类,0.5,,徐 昆
B2E333050-10,体育（5）足球1,体育部,必修,体育类,0.5,,徐 昆
B2H513050,博雅课程（文化素质拓展）(5)(全汉语),学生处武装部,必修,暂无,0.5,,周其林
B3J063110,数据库系统原理(全汉语),计算机学院,选修,一般专业类,3,,郎 波
B3J063860,Android平台开发技术(全汉语),计算机学院,选修,一般专业类,2,,张 炯
B3I063410,编译器课程设计(全汉语),计算机学院,必修,核心专业类,1.5,,张 莉|杨海燕
B3J063890,MATLAB基础及其应用(全汉语),计算机学院,选修,一般专业类,2,,郑 锦|张永飞
B3J063130,软件工程基础(全汉语),计算机学院,选修,一般专业类,2,,罗 杰
B3I063110,编译技术(全汉语),计算机学院,必修,核心专业类,3,,史晓华
B2E333050-11,体育（5）健美操1,体育部,必修,体育类,0.5,,朱志萍
B2G270140,围棋基础（1）(全汉语),化学学院,选修,一般通识类,1,,薛 峰
B2F080110,经济管理(全汉语),经济管理学院,必修,核心通识类,2,,贾国柱
B2H182010,时事与科技前沿思辨（1）(全汉语),北京学院,必修,博雅类,0.5,,宋晓东
B1B03201A,理论力学（A）(全汉语),自动化科学与电气工程学院,必修,工程基础类,4,,霍 伟|左宗玉
B1B03202B,模拟电路B(全汉语),自动化科学与电气工程学院,选修,工程基础类,2,,吴星明
B1B03203B,数字电路B(全汉语),自动化科学与电气工程学院,选修,工程基础类,2,,胡晓光
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,徐志跃|范昌波
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,徐志跃
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,陈伟海|范昌波
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,陈伟海
B1B032060,电工电子技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,4.5,,刘敬猛
B1B032060,电工电子技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,4.5,,吴星明
B1B032060,电工电子技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,4.5,,周 强
B1B032070,电路分析(全汉语),自动化科学与电气工程学院,必修,工程基础类,3,,王建华
B1B032070,电路分析(全汉语),自动化科学与电气工程学院,必修,工程基础类,3,,王建华
B1B032080,电工技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,3.5,,崔建宗
B1B032080,电工技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,3.5,,崔建宗
B1B032130,电路(全汉语),自动化科学与电气工程学院,必修,工程基础类,4,,龚光红
B1B032130,电路(全汉语),自动化科学与电气工程学院,必修,工程基础类,4,,闫 蓓
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,王 琪
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,吕 敬
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,赵 振
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,梁 伟
B1B05201B,理论力学B(全汉语),航空科学与工程学院,必修,工程基础类,4,,王青云
B1B05201B,理论力学B(全汉语),航空科学与工程学院,必修,工程基础类,4,,程 耀
B1B052040,材料力学B(全汉语),航空科学与工程学院,必修,工程基础类,2.5,,鲍 蕊|王治华
B1B052050,工程力学(全汉语),航空科学与工程学院,必修,工程基础类,3.5,,王奇志
B1B052050,工程力学(全汉语),航空科学与工程学院,必修,工程基础类,3.5,,潘 兵
B1B052050,工程力学(全汉语),航空科学与工程学院,必修,工程基础类,3.5,,苏 飞
B1B061010,大学计算机基础(全汉语),计算机学院,必修,工程基础类,2,,万 寒
B1B061040,大学计算机基础(全汉语),计算机学院,必修,工程基础类,2,,艾明晶
B1B072070,机械设计基础C(全汉语),机械工程及自动化学院,必修,工程基础类,3,,边宇枢
B1B231010,高级语言程序设计,高等理工学院,必修,工程基础类,3,,孙自安
B1B231010,高级语言程序设计,高等理工学院,必修,工程基础类,3,,张日崇
B1B231010,高级语言程序设计,高等理工学院,必修,工程基础类,3,,荣文戈
B1B231010,高级语言程序设计,高等理工学院,必修,工程基础类,3,,盛 浩
B1B231010,高级语言程序设计,高等理工学院,必修,工程基础类,3,,吴文峻
B1B231010,高级语言程序设计,高等理工学院,必修,工程基础类,3,,李 帅
B1B321030,工程材料(全汉语),工程训练中心,必修,工程基础类,2,,孙 兼
B1B321030,工程材料(全汉语),工程训练中心,必修,工程基础类,2,,陈娇娇
B1B322010,机械工程技术训练A(全汉语),工程训练中心,必修,工程基础类,3.5,,尚金英
B1B322010,机械工程技术训练A(全汉语),工程训练中心,必修,工程基础类,3.5,,尚金英
B1B322010,机械工程技术训练A(全汉语),工程训练中心,必修,工程基础类,3.5,,尚金英
B1B322050,加工工艺学(全汉语),工程训练中心,选修,工程基础类,3,,戴向国
B1B322050,加工工艺学(全汉语),工程训练中心,选修,工程基础类,3,,马鹏举|史成坤
B2F020110,信息安全导论(全汉语),电子信息工程学院,必修,核心通识类,1,,刘建伟|伍前红|张宗洋
B2F020150,太空千里眼--空天遥感成像及其信息处理(全汉语),电子信息工程学院,必修,核心通识类,1,,王 俊|孙进平|许小剑
B2F020160,密码的奥秘(全汉语),电子信息工程学院,必修,核心通识类,1,,刘建伟|关振宇
B2F020170,电磁能量和电磁干扰(全汉语),电子信息工程学院,必修,核心通识类,1,,谢树果
B2F020180,指南者—定位导航技术(全汉语),电子信息工程学院,必修,核心通识类,1,,秦红磊|金 天
B2F020190,电子与电磁波的物理世界(全汉语),电子信息工程学院,必修,核心通识类,1,,阮存军
B2F020210,走进光电信息世界(全汉语),电子信息工程学院,必修,核心通识类,1,,郑 铮|万育航
B2F020220,走进自旋电子世界(全汉语),电子信息工程学院,必修,核心通识类,1,,张 悦
B2F020230,飞机神经中枢漫游(全汉语),电子信息工程学院,必修,核心通识类,1,,熊华钢|李 峭|王 彤|何 锋
B2F020240,隐身漫谈(全汉语),电子信息工程学院,必修,核心通识类,1,,武建华|李志平|王正鹏
B2F020250,走进无线互联与移动大数据(全汉语),电子信息工程学院,必修,核心通识类,1,,杨晨阳|韩圣千|刘婷婷
B2F020260,感知我们的地球(全汉语),电子信息工程学院,必修,核心通识类,1,,陈 杰|徐华平|于 泽|王鹏波
B2F020390,电子信息工程导论(全汉语),电子信息工程学院,必修,核心通识类,1.5,,王祖林|张有光|赵巍胜
B2F030110,从弦弧近似到微积分(全汉语),自动化科学与电气工程学院,必修,核心通识类,1,,李运华|杨丽曼
B2F030120,系统控制前沿(全汉语),自动化科学与电气工程学院,必修,核心通识类,1,,贾英民
B2F030130,走进机器人世界(全汉语),自动化科学与电气工程学院,必修,核心通识类,1,,王少萍
B2F030140,自动化检测前沿与实践(全汉语),自动化科学与电气工程学院,必修,核心通识类,1,,袁海文
B2F030150,电机驱动与机器人(全汉语),自动化科学与电气工程学院,必修,核心通识类,1,,严 亮
B2F030160,仿生智能与无人机(全汉语),自动化科学与电气工程学院,必修,核心通识类,1,,段海滨|吴 江
B2F040120,燃烧室设计难点及前沿问题研讨(全汉语),能源与动力工程学院,必修,核心通识类,1,,黄 勇
B2F050130,现代大学概论(全汉语),航空科学与工程学院,必修,核心通识类,2,,刘沛清
B2F050140,能源概论(全汉语),航空科学与工程学院,必修,核心通识类,2,,邢玉明
B2F050140,能源概论(全汉语),航空科学与工程学院,必修,核心通识类,2,,邢玉明
B2F050180,载人航天史话与生命保障技术导论(全汉语),航空科学与工程学院,必修,核心通识类,1,,李运泽
B2F050260,氢能的奥秘(全汉语),航空科学与工程学院,必修,核心通识类,1,,徐伟强
B2F070120,中外艺术设计简史(全汉语),机械工程及自动化学院,必修,核心通识类,2,,王 鑫
B2F070160,机械之美(全汉语),机械工程及自动化学院,必修,核心通识类,1,,付永领|张德远|王田苗|李东升|丁希仑|王春洁|段桂江|李刘合
B2F110110,大学语文(全汉语),人文社会科学学院,必修,核心通识类,2,,石天强
B2F110110,大学语文(全汉语),人文社会科学学院,必修,核心通识类,2,,石天强
B2F110110,大学语文(全汉语),人文社会科学学院,必修,核心通识类,2,,石天强
B2F110130,音乐作品分析与欣赏(全汉语),人文社会科学学院,必修,核心通识类,2,,苏丹娜
B2F110140,舞蹈之美(全汉语),人文社会科学学院,必修,核心通识类,2,,井志伟
B2F110170,合唱与指挥(全汉语),人文社会科学学院,必修,核心通识类,2,,李爱华
B2F110170,合唱与指挥(全汉语),人文社会科学学院,必修,核心通识类,2,,李爱华
B2F110190,美学基础(全汉语),人文社会科学学院,必修,核心通识类,2,,石天强
B2F110220,廉洁领导与管理(全汉语),人文社会科学学院,必修,核心通识类,2,,任建明
B2F110230,哲学问题导论(全汉语),人文社会科学学院,必修,核心通识类,2,,王 娜
B2F110240,动作语言分析与训练(全汉语),人文社会科学学院,必修,核心通识类,2,,井志伟
B2F110250,科技哲学经典问题(全汉语),人文社会科学学院,必修,核心通识类,2,,王 妍
B2F110260,合唱与声乐艺术(全汉语),人文社会科学学院,必修,核心通识类,2,,苏丹娜
B2F120130,英语批判阅读与写作(英汉双语),外国语学院,必修,核心通识类,2,,张晓君
B2F120150,英语演讲(英汉双语),外国语学院,必修,核心通识类,2,,胥国红
B2F130110,智能汽车设计与制作(全汉语),交通科学与工程学院,必修,核心通识类,2,,余贵珍
B2F140110,失败的逻辑——你为什么失败(全汉语),可靠性与系统工程学院,必修,核心通识类,2,,潘 星
B2F140120,可靠de工程素养(全汉语),可靠性与系统工程学院,必修,核心通识类,1,,章文晋
B2F140130,确信飞机去哪了(全汉语),可靠性与系统工程学院,必修,核心通识类,1,,赵廷弟
B2F140140,质量与可靠性专业生态圈(全汉语),可靠性与系统工程学院,必修,核心通识类,1,,康 锐
B2F171120,仪器科学与科技文明(全汉语),仪器科学与光电工程学院,必修,核心通识类,2,,钱 政
B2F190110,趣味物理研讨课(全汉语),物理科学与核能工程学院,必修,核心通识类,2,,张国锋
B2F200180,影像中的司法与正义(全汉语),法学院,必修,核心通识类,1,,初殿清
B2F260120,中国美术史(全汉语),新媒体艺术与设计学院,必修,核心通识类,2,,宫万琳|叶 强|李 佳
B2F260130,西方美术与观念(全汉语),新媒体艺术与设计学院,必修,核心通识类,2,,张 晨
B2F260170,文化衫设计与制作(全汉语),新媒体艺术与设计学院,必修,核心通识类,2,,宋泽惠|王 丹
B2F270110,环境与可持续发展(全汉语),空间与环境学院,必修,核心通识类,2,,范文宏
B2F280120,老庄哲学与人生智慧(全汉语),马克思主义学院,必修,核心通识类,2,,李富君
B2F280130,人生哲学(全汉语),马克思主义学院,必修,核心通识类,2,,郁树廷
B2F280160,哲学思维与应用(全汉语),马克思主义学院,必修,核心通识类,2,,谭裘麒|万林艳|赵义良|王 娜
B2F280170,古今茶文化(全汉语),马克思主义学院,必修,核心通识类,2,,田 真
B2F290160,诗歌与中国文化(全汉语),人文与社会科学高等研究院,必修,核心通识类,2,,罗 旻
B2F290190,博弈与社会(全汉语),人文与社会科学高等研究院,必修,核心通识类,2,,段 颀
B2F290320,联邦党人文集与美国立宪辨析(全汉语),人文与社会科学高等研究院,必修,核心通识类,2,,田飞龙
B2F293480,中西哲学与文化比较(全汉语),人文与社会科学高等研究院,必修,核心通识类,2,,张耀南
B2F300130,空间科学导论(全汉语),空间与环境学院,必修,核心通识类,1,,刘文龙
B3I042110,工程热力学(全汉语),能源与动力工程学院,必修,核心专业类,2.5,,丁水汀|李 果|李 挺
B3I042110,工程热力学(全汉语),能源与动力工程学院,必修,核心专业类,2.5,,李海旺
B3I062110,计算机组成(全汉语),计算机学院,必修,核心专业类,4,,高小鹏|杨建磊
B3I062110,计算机组成(全汉语),计算机学院,必修,核心专业类,4,,刘旭东
B3I062110,计算机组成(全汉语),计算机学院,必修,核心专业类,4,,高小鹏
B3I062110,计算机组成(全汉语),计算机学院,必修,核心专业类,4,,肖利民
B3I062110,计算机组成(全汉语),计算机学院,必修,核心专业类,4,,牛建伟
B3I062110,计算机组成(全汉语),计算机学院,必修,核心专业类,4,,栾钟治
B3I062120,算法设计与分析(全汉语),计算机学院,必修,核心专业类,2,,许 可|韩 军|盛 浩
B3I062120,算法设计与分析(全汉语),计算机学院,必修,核心专业类,2,,张永飞
B3I062410,计算机组成课程设计(全汉语),计算机学院,必修,核心专业类,3,,高小鹏
B3I062410,计算机组成课程设计(全汉语),计算机学院,必修,核心专业类,3,,张 亮
B3I062410,计算机组成课程设计(全汉语),计算机学院,必修,核心专业类,3,,万 寒
B3I062410,计算机组成课程设计(全汉语),计算机学院,必修,核心专业类,3,,李辉勇
B3I062410,计算机组成课程设计(全汉语),计算机学院,必修,核心专业类,3,,杨建磊
B3I072310,工程材料学(全汉语),机械工程及自动化学院,必修,核心专业类,2,,张彦华
B3I072310,工程材料学(全汉语),机械工程及自动化学院,必修,核心专业类,2,,曲文卿
B3I072310,工程材料学(全汉语),机械工程及自动化学院,必修,核心专业类,2,,郭 伟
B3I072310,工程材料学(全汉语),机械工程及自动化学院,必修,核心专业类,2,,赵海云
B3I072610,构成原理(1)(全汉语),机械工程及自动化学院,必修,核心专业类,2,,王 鑫
B3I072630,工业设计方法(全汉语),机械工程及自动化学院,必修,核心专业类,2,,张 融|魏晓东
B3I072640,设计创意基础(全汉语),机械工程及自动化学院,必修,核心专业类,2,,张 融|魏晓东
B3I072720,设计色彩(全汉语),机械工程及自动化学院,必修,核心专业类,2,,马良书
B3I072740,表现技法(1)(全汉语),机械工程及自动化学院,必修,核心专业类,2.5,,宫浩钦
B3I072760,计算机辅助工业设计(1)(全汉语),机械工程及自动化学院,必修,核心专业类,2,,王运巧
B3I08221B,微观经济学(全汉语),经济管理学院,必修,核心专业类,3,,刘天亮|朱 磊
B3I08221B,微观经济学(全汉语),经济管理学院,必修,核心专业类,3,,刘天亮|朱 磊
B3I08221C,公司财务(全汉语),经济管理学院,必修,核心专业类,2.5,,谢 岚
B3I08222C,中级财务会计(全汉语),经济管理学院,必修,核心专业类,4,,白 明
B3I08223C,计算机原理与应用(全汉语),经济管理学院,必修,核心专业类,2,,李 红
B3I08225C,国际经济学(全汉语),经济管理学院,必修,核心专业类,3,,方 虹
B3I082260,课程设计（公司财务）(全汉语),经济管理学院,必修,核心专业类,0.5,,谢 岚
B3I08226C,保险学(全汉语),经济管理学院,必修,核心专业类,2,,赵尚梅
B3I08227C,货币金融学(全汉语),经济管理学院,必修,核心专业类,3,,赵尚梅
B3I08228C,组织行为学(全汉语),经济管理学院,必修,核心专业类,2,,武 欣
B3I08332C,数据结构(全汉语),经济管理学院,必修,核心专业类,2.5,,王 强
B3I08353D,电子商务概论(全汉语),经济管理学院,必修,核心专业类,2,,闪四清
B3I08397D,环境经济思想史(全汉语),经济管理学院,必修,核心专业类,1.5,,王鑫
B3I09241A,数据结构(全汉语),数学与系统科学学院,必修,核心专业类,3,,王拥军
B3I101240,生物与医学工程概论(全汉语),生物与医学工程学院,必修,核心专业类,2,,孙联文|易宗春|刘 红|邓小燕|樊瑜波|蒲 放|荣 龙|李晓明|周前祥
B3I101250,生物与医学工程基础实验(全汉语),生物与医学工程学院,必修,核心专业类,2,,孙联文|李淑宇|荣 龙|宋 崴|郑丽沙|周 钢|周前祥|孙安强|谢倍珍|岳蜀华
B3I102230,临床医学基础与医学伦理(全汉语),生物与医学工程学院,必修,核心专业类,2,,孙联文|汲 婧
B3I102260,生物化学,生物与医学工程学院,必修,核心专业类,2,,宋怡玲|宋 崴
B3I102260,生物化学,生物与医学工程学院,必修,核心专业类,2,,宋怡玲|宋 崴
B3I102260,生物化学,生物与医学工程学院,必修,核心专业类,2,,宋怡玲|宋 崴
B3I102260,生物化学,生物与医学工程学院,必修,核心专业类,2,,宋怡玲|宋 崴
B3I112140,社会调查研究方法(全汉语),人文社会科学学院,必修,核心专业类,4,,方卫华|王军霞
B3I112150,政治学原理(全汉语),人文社会科学学院,必修,核心专业类,2,,任丙强
B3I112320,社会心理学(全汉语),人文社会科学学院,必修,核心专业类,2,,李卫华
B3I112330,发展心理学(全汉语),人文社会科学学院,必修,核心专业类,2,,刘 杨
B3I112340,心理统计(全汉语),人文社会科学学院,必修,核心专业类,3,,吴瑞林
B3I112710,经济统计(全英语),人文社会科学学院,必修,核心专业类,2,,聂 晨
B3I122110,综合英语（3）(英汉双语),外国语学院,必修,核心专业类,4,,顿 超
B3I122110,综合英语（3）(英汉双语),外国语学院,必修,核心专业类,4,,宫海荣
B3I122110,综合英语（3）(英汉双语),外国语学院,必修,核心专业类,4,,夏 琨
B3I122110,综合英语（3）(英汉双语),外国语学院,必修,核心专业类,4,,宫海荣
B3I122120,英语听说写（3）(英汉双语),外国语学院,必修,核心专业类,1,,田飞洋
B3I122120,英语听说写（3）(英汉双语),外国语学院,必修,核心专业类,1,,田飞洋
B3I122130,英语文学阅读（3）(英汉双语),外国语学院,必修,核心专业类,1,,李 英
B3I122130,英语文学阅读（3）(英汉双语),外国语学院,必修,核心专业类,1,,李 英
B3I122150,英语修辞与写作(英汉双语),外国语学院,必修,核心专业类,2,,张继琴
B3I122150,英语修辞与写作(英汉双语),外国语学院,必修,核心专业类,2,,张继琴
B3I122150,英语修辞与写作(英汉双语),外国语学院,必修,核心专业类,2,,张继琴
B3I122160,英汉基础笔译(英汉双语),外国语学院,必修,核心专业类,1,,李 蒙
B3I122160,英汉基础笔译(英汉双语),外国语学院,必修,核心专业类,1,,李 蒙
B3I122170,德语口语（3）(其他语言),外国语学院,必修,核心专业类,1,,Barbara Nowara
B3I122180,德语视听训练（3）(其他语言),外国语学院,必修,核心专业类,1,,王 莺
B3I122190,德语泛读（1）(其他语言),外国语学院,必修,核心专业类,1.5,,温 静
B3I122310,综合德语（3）(其他语言),外国语学院,必修,核心专业类,6,,温 静|王 莺
B3I192310,电磁学（中、英）(英汉双语),物理科学与核能工程学院,必修,核心专业类,4,,张 颖
B3I192320,光学(全汉语),物理科学与核能工程学院,必修,核心专业类,3,,吴 坚
B3I192510,数学物理方法（1）(全汉语),物理科学与核能工程学院,必修,核心专业类,6,,邓胜华
B3I20212A,物权法(全汉语),法学院,必修,核心专业类,3,,刘保玉
B3I20213A,债法（含合同法）(全汉语),法学院,必修,核心专业类,4,,龙卫球|张家骥
B3I20251A,法理学(全汉语),法学院,必修,核心专业类,3,,罗 昶
B3I202610,宪法(全汉语),法学院,必修,核心专业类,3,,翟志勇
B3I202720,刑法分论(全汉语),法学院,必修,核心专业类,4,,孙运梁
B3I202810,法律研究与法律写作(全汉语),法学院,必修,核心专业类,2,,裴 炜
B3I212110,面向程序设计的硬件基础,软件学院,必修,核心专业类,4,,邓莹莹
B3I212210,算法分析与设计,软件学院,必修,核心专业类,3,,宋 友
B3I212210,算法分析与设计,软件学院,必修,核心专业类,3,,宋 友
B3I27214A,有机化学A1(全汉语),化学学院,必修,核心专业类,3,,陈贻炽
B3I27216A,物理化学A1(全汉语),化学学院,必修,核心专业类,3,,刘兆阅
B3I27218A,仪器分析(全汉语),化学学院,必修,核心专业类,2,,赵东宇
B3I27224A,有机化学实验1(全汉语),化学学院,必修,核心专业类,2,,王红山
B3I27224A,有机化学实验1(全汉语),化学学院,必修,核心专业类,2,,王红山
B3I27226A,物理化学实验1(全汉语),化学学院,必修,核心专业类,2,,田东亮
B3I27226A,物理化学实验1(全汉语),化学学院,必修,核心专业类,2,,田东亮
B3I302110,空间探测技术导论(全汉语),空间与环境学院,必修,核心专业类,2,,曾 立
B1A012130,物理化学B,材料科学与工程学院,必修,数学与自然科学类,4,,王 女
B1A05201B,复变函数(全汉语),航空科学与工程学院,必修,数学与自然科学类,2,,赵寿根
B1A05201B,复变函数(全汉语),航空科学与工程学院,必修,数学与自然科学类,2,,孙玉鑫
B1A05201B,复变函数(全汉语),航空科学与工程学院,必修,数学与自然科学类,2,,刘 波
B1A05202B,概率统计B(全汉语),航空科学与工程学院,必修,数学与自然科学类,2,,傅惠民|王治华|张勇波
B1A05202B,概率统计B(全汉语),航空科学与工程学院,必修,数学与自然科学类,2,,沈志刚|张勇波
B1A072010,工程中的计算方法(全汉语),机械工程及自动化学院,必修,数学与自然科学类,2,,闫光荣|宁 涛|胡毕富|陈甜甜
B1A072010,工程中的计算方法(全汉语),机械工程及自动化学院,必修,数学与自然科学类,2,,闫光荣|宁 涛|胡毕富|陈甜甜
B1A09103B,线性代数(全汉语),数学与系统科学学院,必修,数学与自然科学类,4,,王拥军
B1A09204A,概率统计A(全汉语),数学与系统科学学院,必修,数学与自然科学类,3,,邢家省
B1A09204A,概率统计A(全汉语),数学与系统科学学院,必修,数学与自然科学类,3,,马 健
B1A09204A,概率统计A(全汉语),数学与系统科学学院,必修,数学与自然科学类,3,,张奇业
B1A09204A,概率统计A(全汉语),数学与系统科学学院,必修,数学与自然科学类,3,,杨卓琴
B1A09204A,概率统计A(全汉语),数学与系统科学学院,必修,数学与自然科学类,3,,阮元龙
B1A09204A,概率统计A(全汉语),数学与系统科学学院,必修,数学与自然科学类,3,,刘明菊
B1A09204B,概率统计B(全汉语),数学与系统科学学院,必修,数学与自然科学类,2,,刘 超
B1A09204B,概率统计B(全汉语),数学与系统科学学院,必修,数学与自然科学类,2,,张思容
B1A192011,工科大学物理（2）（全英文）(全英语),物理科学与核能工程学院,必修,数学与自然科学类,4,,刁训刚|宋春艳|沈成平|李 伟
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,王金良|舒小林
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,王金良|舒小林
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,乐小云|张玉洁
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,黄安平
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,宋春艳|柳 飞
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,刘玉萍|张时声
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,刘玉萍|张时声
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,潘 晖|时洪亮
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,潘 晖|时洪亮
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,赵 路
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,宋春艳|柳 飞
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,金 硕|孙 莹
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,金 硕|孙 莹
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,苟成玲
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,赵素芬|王海龙
B1A19201B,工科大学物理（2）(全汉语),物理科学与核能工程学院,必修,数学与自然科学类,4,,赵素芬|王海龙
B1A231020,高等代数（1）,高等理工学院,必修,数学与自然科学类,5,,吴文峻
B1A231020,高等代数（1）,高等理工学院,必修,数学与自然科学类,5,,孙晓伟|吴文峻
B1A231150,数学分析（1）,高等理工学院,必修,数学与自然科学类,9,,郭玉霞|吴文峻
B1A231150,数学分析（1）,高等理工学院,必修,数学与自然科学类,9,,漆 毅|吴文峻
B1A231150,数学分析（1）,高等理工学院,必修,数学与自然科学类,9,,伍胜健|吴文峻
B1A27216B,物理化学B,化学学院,必修,数学与自然科学类,4,,王 女
B1A30121C,分析化学C(全汉语),空间与环境学院,必修,数学与自然科学类,2.5,,卢善富
B2E332030-15,体育（3）【健美操1】,体育部,必修,体育类,0.5,,陈 媛
B2E332030-1,体育（3）【篮球1】,体育部,必修,体育类,0.5,,陈 艳
B2E332030-1,体育（3）【篮球1】,体育部,必修,体育类,0.5,,陈 艳
B2E332030-2,体育（3）【篮球2】,体育部,必修,体育类,0.5,,周大胜
B2E332030-2,体育（3）【篮球2】,体育部,必修,体育类,0.5,,周大胜
B2E332030-3,体育（3）【排球1】,体育部,必修,体育类,0.5,,盛春媛
B2E332030-4,体育（3）【排球2】,体育部,必修,体育类,0.5,,盛春媛
B2E332030-5,体育（3）【乒乓球】,体育部,必修,体育类,0.5,,石 磊
B2E332030-5,体育（3）【乒乓球】,体育部,必修,体育类,0.5,,石 磊
B2E332030-6,体育（3）【台球】,体育部,必修,体育类,0.5,,陈和霖
B2E332030-6,体育（3）【台球】,体育部,必修,体育类,0.5,,陈和霖
B2E332030-7,体育（3）【跆拳道】,体育部,必修,体育类,0.5,,刘 菁
B2E332030-7,体育（3）【跆拳道】,体育部,必修,体育类,0.5,,沈 霞
B2E332030-7,体育（3）【跆拳道】,体育部,必修,体育类,0.5,,刘 菁
B2E332030-8,体育（3）【网球】,体育部,必修,体育类,0.5,,吴铁铮
B2E332030-8,体育（3）【网球】,体育部,必修,体育类,0.5,,吴铁铮
B2E332030-9,体育（3）【形体训练】,体育部,必修,体育类,0.5,,袁 焰
B2E332030-10,体育（3）【游泳1】,体育部,必修,体育类,0.5,,尹宝玉
B2E332030-10,体育（3）【游泳1】,体育部,必修,体育类,0.5,,尹宝玉
B2E332030-11,体育（3）【有氧拉丁】,体育部,必修,体育类,0.5,,袁 焰
B2E332030-12,体育（3）【瑜伽】,体育部,必修,体育类,0.5,,陈 媛
B2E332030-13,体育（3）【羽毛球1】,体育部,必修,体育类,0.5,,杨亚琴
B2E332030-13,体育（3）【羽毛球1】,体育部,必修,体育类,0.5,,杨亚琴
B2E332030-14,体育（3）【足球1】,体育部,必修,体育类,0.5,,黄烨军
B2E332030-14,体育（3）【足球1】,体育部,必修,体育类,0.5,,黄烨军
B2H512030,博雅课程（文化素质拓展）(3)(全汉语),学生处武装部,必修,暂无,0.5,,顾慧毅
B1A19203A,基础物理实验A(1)(全汉语),物理科学与核能工程学院,必修,暂无,2,,李朝荣
